CommonName,Species,Mass,Metab,Life
Echidna,Tachiglossus_aculeatus,2.50E+00,3.02E+02,14
Long-beaked_echidna,Zaglossus_bruijni,1.03E+01,5.94E+02,20
Platypus,Ornithorhynchus_anatinus,1.30E+00,2.29E+02,9
Opossum,Lutreolina_crassicaudata,8.12E-01,1.96E+02,5
South_American_opossum,Didelphis_marsupialis,1.33E+00,2.99E+02,6
Virginia_opossum,Didelphis_virginiana,3.26E+00,5.19E+02,8
Australian_marsupial,Antechinus_macdonnellensis,1.41E-02,9.00E+00,2
Marsupial__,Antechinomus_stuartii,3.65E-03,1.76E+01,2.5
Marsupial,Antechinomus_laniger,8.50E-03,5.17E+00,2
Marsupial_rat,Dasyuroides_byrnei,8.90E-02,3.74E+01,3
Bandicoot,Isodon_macroonurus,1.00E+00,2.01E+02,8
Long-nosed_bandicoot,Perameles_nasuta,6.45E-01,1.53E+02,7
Fat-tailed_dunnart,Sminthopsis_crassicaudata,1.50E-02,9.64E+00,2
Australian_marsupial,Planigale_maculata,1.30E-02,1.37E+01,1.5
Tasmanian_devil,Sacrophilus_harrisii,5.05E+00,6.28E+02,10
Brushtail_possum,Trichosurus_vulpecula,1.98E+00,3.06E+02,8
Kangaroo,Macropus_robustus,4.69E+00,6.94E+02,11
Red_kangaroo,Macropus_rufus,4.00E+01,4.00E+03,15
Tammar_wallaby,Macropus_eugenii,4.80E+00,6.71E+02,11
Sloth,Bradypus_variegatus,3.79E+00,3.31E+02,19
Armadillo,Dasypus_novemcinctus,3.32E+00,3.84E+02,10
Pangolin,Manis_tricuspis,2.73E+00,4.40E+02,8
Scaly_anteater,Manis_javanica,4.22E+00,5.29E+02,11
Short-tailed_shrew,Blarina_brevicauda,2.10E-02,2.53E+01,1.2
Hamster,Cricetus_cricetus,3.62E-01,1.12E+02,4
Spiny_pocket_mouse,Liomys_salvini,4.38E-02,2.25E+01,2.5
Mexican_mouse,Liomys_irroratus,4.81E-02,2.60E+01,2.5
Mouse,Microtus_minutus,9.80E-03,1.80E+01,0.8
Mouse,Microtus_mexicanus,2.80E-02,2.20E+01,1.5
Golden_mouse,Ochrotomys_nuttalli,1.95E-02,2.38E+01,1.5
Mouse,Mus_musculus,2.10E-02,2.09E+01,1.5
Woodrat,Neotoma_cirenea,3.21E-01,1.21E+02,3.5
Woodrat,Neotoma_lepida,1.39E-01,4.82E+01,3.5
Woodrat,Neotoma_fuscipes,1.87E-01,7.13E+01,3.5
Woodrat,Neotoma_albigula,1.72E-01,6.14E+01,3.5
Musk_rat,Ondatra_zibethicus,8.42E-01,3.33E+02,3.5
Pocket_mouse,Perognathus_longimembris,1.15E-02,1.14E+01,1.5
Mouse,Perognahtus_hispidus,3.95E-02,2.38E+01,2
Rodent,Peromyscus_eremicus,2.15E-02,1.54E+01,1.5
