Mass,Type,Energy
779,non-echolocating bats,43.7
628,non-echolocating bats,34.8
258,non-echolocating bats,23.3
315,non-echolocating bats,22.4
24.3,non-echolocating birds,2.46
35,non-echolocating birds,3.93
72.8,non-echolocating birds,9.15
120,non-echolocating birds,13.8
213,non-echolocating birds,14.6
275,non-echolocating birds,22.8
370,non-echolocating birds,26.2
384,non-echolocating birds,25.9
442,non-echolocating birds,29.5
412,non-echolocating birds,43.7
330,non-echolocating birds,34
480,non-echolocating birds,27.8
93,echolocating bats,8.83
8,echolocating bats,1.35
6.7,echolocating bats,1.12
7.7,echolocating bats,1.02
