Subject,Educ,Income2005
2,12,5500
6,16,65000
7,12,19000
13,16,8000
21,16,253043
22,16,45300
29,12,85000
37,12,37000
38,12,70000
39,12,67000
42,12,45000
44,12,7200
47,12,66309
57,12,12000
63,16,108000
78,16,14657
87,12,17000
89,16,62000
105,12,40000
106,16,105000
107,16,43000
119,16,12000
120,16,150000
129,16,80000
133,12,52000
137,16,175829
138,16,8000
145,12,10000
146,12,50000
148,12,21800
149,12,95000
152,12,85000
165,12,50000
179,12,29000
184,16,6000
185,12,34000
192,16,26000
193,16,105000
197,12,17000
199,12,38000
200,12,35000
201,16,16000
207,12,32000
210,16,50000
218,16,261763
233,12,39000
234,12,140000
240,12,38000
242,12,75000
243,12,94600
244,12,5000
257,12,22000
259,12,14000
269,16,154541
279,12,64500
282,16,14000
283,12,53000
284,12,90000
294,12,12000
310,12,70000
317,16,31500
321,16,69000
323,12,80000
327,16,28000
346,16,120000
348,12,164307
351,12,39000
354,12,9600
357,16,80000
358,16,110000
359,16,60000
362,12,48000
367,16,58000
369,16,12000
370,16,20000
373,12,9000
375,12,17500
377,12,10000
381,12,105000
385,12,41500
386,12,43000
391,12,35000
392,12,60000
400,16,75000
401,12,11500
408,12,68000
409,16,180733
410,12,31085
411,12,16000
426,12,82000
433,12,21528
434,12,59000
437,12,22000
439,16,77000
444,16,1500
445,16,40000
446,12,32000
449,12,14000
457,16,53000
461,16,85000
465,12,12000
467,16,20000
470,12,46000
479,16,86000
484,12,30000
485,12,12000
486,12,196424
491,12,20000
496,16,25000
502,12,90000
503,12,23000
505,12,28000
506,16,43000
520,16,73000
535,12,20000
540,12,60000
543,12,98000
548,12,15000
550,12,22000
553,16,10000
594,12,80000
608,16,27000
609,16,32000
612,16,46136
613,12,95000
616,12,25000
632,12,4000
636,12,40000
639,12,35000
640,12,42000
645,16,163172
646,12,12500
647,12,61000
650,16,58000
662,12,22000
663,16,85000
665,16,30000
669,12,29000
671,16,10000
674,12,50000
679,12,20000
681,12,5000
684,12,72000
697,12,50000
703,12,3000
709,12,41167
711,12,40000
713,12,11000
717,12,40000
719,12,48000
720,12,35000
723,12,25000
728,12,30000
731,12,40000
732,12,35000
745,12,41000
747,12,50300
751,16,55000
755,12,37000
756,12,26000
758,12,20000
762,12,12000
763,12,23000
769,12,3000
772,12,74000
777,16,85000
789,12,15000
792,16,30000
793,16,30000
796,16,58000
797,12,72000
799,12,53000
802,12,30000
806,12,35000
807,16,70000
810,16,115000
812,16,10500
814,12,16000
815,12,23400
816,16,29000
817,16,117000
820,16,85000
832,12,20000
843,12,3000
847,16,67500
849,12,20000
851,12,48000
854,12,22000
859,12,46000
860,12,37500
861,12,29000
863,12,125000
866,12,36000
872,16,176354
875,12,40000
878,12,50000
881,16,8000
882,16,42000
885,16,37000
888,12,50000
891,12,36000
896,16,15000
898,16,40000
908,16,37000
912,16,34000
914,12,71500
916,16,20000
920,16,120000
922,12,90000
929,12,42000
932,12,30000
935,12,9800
938,12,38500
942,12,43000
945,16,37300
949,12,70000
950,12,30000
951,12,72000
952,12,23600
955,12,40000
958,12,35000
961,16,140000
963,12,65000
964,12,48000
966,12,44000
967,12,56000
968,12,65000
969,12,31000
970,12,110000
971,12,3000
972,12,38000
973,12,42000
990,12,39000
996,12,60000
997,12,46000
999,16,27000
1003,16,70000
1007,12,125000
1011,12,45000
1029,12,17000
1042,12,26000
1043,12,16000
1044,12,25000
1048,12,13000
1053,16,394058
1056,12,24000
1060,12,12000
1062,12,115000
1063,12,20518
1065,12,20160
1071,12,12649
1078,16,61000
1080,12,7500
1082,16,70000
1085,12,36000
1092,12,15000
1093,16,35000
1096,12,48000
1106,16,35000
1111,12,44000
1114,12,50000
1118,12,80000
1122,16,37000
1130,12,5000
1138,16,58000
1139,16,60000
1141,12,30000
1143,16,180124
1144,16,248713
1147,12,6500
1156,12,25000
1157,16,63000
1169,12,130000
