Date,NewCases,NewCasesAdj
3/23/20,24,24
3/24/20,14,14
3/25/20,78,78
3/26/20,56,56
3/27/20,64,64
3/28/20,72,72
3/29/20,49,49
3/30/20,61,61
3/31/20,82,82
4/1/20,100,100
4/2/20,100,100
4/3/20,90,90
4/4/20,184,184
4/5/20,7,7
4/6/20,43,43
4/7/20,106,106
4/8/20,63,63
4/9/20,108,108
4/10/20,105,105
4/11/20,107,107
4/12/20,79,79
4/13/20,65,65
4/14/20,89,89
4/15/20,109,109
4/16/20,80,80
4/17/20,124,124
4/18/20,134,134
4/19/20,104,104
4/20/20,84,84
4/21/20,0,85
4/22/20,171,85
4/23/20,80,80
4/24/20,71,71
4/25/20,75,75
4/26/20,105,105
4/27/20,0,113
4/28/20,226,113
4/29/20,0,145
4/30/20,291,146
5/1/20,187,187
5/2/20,181,181
5/3/20,234,234
5/4/20,237,237
5/5/20,253,253
5/6/20,246,246
5/7/20,251,251
5/8/20,249,249
5/9/20,250,250
5/10/20,251,251
5/11/20,253,253
5/12/20,0,239
5/13/20,479,240
5/14/20,235,235
5/15/20,199,199
5/16/20,214,214
5/17/20,205,205
5/18/20,224,224
5/19/20,225,225
5/20/20,0,184
5/21/20,369,185
5/22/20,204,204
5/23/20,172,172
5/24/20,178,178
5/25/20,171,171
5/26/20,190,190
5/27/20,197,197
5/28/20,202,202
5/29/20,200,200
5/30/20,0,223
5/31/20,447,224
6/1/20,228,228
6/2/20,257,257
6/3/20,239,239
6/4/20,285,285
6/5/20,298,298
6/6/20,289,289
6/7/20,263,263
6/8/20,254,254
6/9/20,298,298
6/10/20,300,300
6/11/20,312,312
6/12/20,328,328
6/13/20,345,345
6/14/20,302,302
6/15/20,305,305
6/16/20,306,306
6/17/20,413,413
6/18/20,392,392
6/19/20,394,394
6/20/20,395,395
6/21/20,408,408
